district,village,office,agree,disagree
新興區,永寧里,1111,525,12
新興區,玉衡里,1112,302,8
新興區,順昌里,1113,452,12
新興區,順昌里,1114,383,10
新興區,文昌里,1115,579,14
新興區,文昌里,1116,490,12
新興區,光耀里,1117,470,12
新興區,光耀里,1118,396,13
新興區,興昌里,1119,301,7
新興區,興昌里,1120,380,11
新興區,開平里,1121,661,11
新興區,開平里,1122,714,12
新興區,成功里,1123,438,18
新興區,新江里,1124,439,5
新興區,黎明里,1125,359,17
新興區,愛平里,1126,423,9
新興區,南港里,1127,440,12
新興區,南港里,1128,449,11
新興區,中東里,1129,387,7
新興區,中東里,1130,507,8
新興區,明莊里,1131,297,14
新興區,大明里,1132,431,12
新興區,秋山里,1133,386,13
新興區,長驛里,1134,356,11
新興區,建興里,1135,388,5
新興區,建華里,1136,323,10
新興區,漢民里,1137,305,5
新興區,榮治里,1138,262,12
新興區,東坡里,1139,538,21
苓雅區,博仁里,1140,254,6
苓雅區,苓洲里,1141,574,13
苓雅區,苓昇里,1142,449,9
苓雅區,苓中里,1143,683,19
苓雅區,苓雅里,1144,521,9
苓雅區,苓東里,1145,568,20
苓雅區,城北里,1146,579,11
苓雅區,城西里,1147,240,6
苓雅區,城東里,1148,334,10
苓雅區,城東里,1149,365,6
苓雅區,意誠里,1150,628,23
苓雅區,意誠里,1151,562,13
苓雅區,鼓中里,1152,389,10
苓雅區,田西里,1153,474,14
苓雅區,人和里,1154,375,6
苓雅區,人和里,1155,327,7
苓雅區,仁政里,1156,497,13
苓雅區,廣澤里,1157,381,5
苓雅區,廣澤里,1158,396,10
苓雅區,美田里,1159,400,14
苓雅區,華堂里,1160,600,13
苓雅區,華堂里,1161,570,14
苓雅區,日中里,1162,513,9
苓雅區,日中里,1163,386,17
苓雅區,普照里,1164,643,6
苓雅區,普照里,1165,600,12
苓雅區,和煦里,1166,337,4
苓雅區,和煦里,1167,399,9
苓雅區,晴朗里,1168,631,23
苓雅區,普天里,1169,671,15
苓雅區,普天里,1170,680,21
苓雅區,林富里,1171,805,14
苓雅區,林圍里,1172,402,10
苓雅區,林圍里,1173,452,10
苓雅區,林安里,1174,568,13
苓雅區,光華里,1175,329,10
苓雅區,林興里,1176,570,14
苓雅區,林華里,1177,623,10
苓雅區,林華里,1178,541,13
苓雅區,林西里,1179,609,14
苓雅區,林中里,1180,574,8
苓雅區,林中里,1181,529,17
苓雅區,林泉里,1182,660,18
苓雅區,林南里,1183,489,11
苓雅區,林南里,1184,518,17
苓雅區,中正里,1185,503,10
苓雅區,中正里,1186,604,11
苓雅區,尚義里,1187,550,23
苓雅區,同慶里,1188,375,11
苓雅區,同慶里,1189,407,11
苓雅區,凱旋里,1190,376,11
苓雅區,凱旋里,1191,341,8
苓雅區,安祥里,1192,453,8
苓雅區,安祥里,1193,398,7
苓雅區,奏捷里,1194,568,18
苓雅區,福壽里,1195,690,21
苓雅區,福南里,1196,370,10
苓雅區,福南里,1197,390,7
苓雅區,五權里,1198,487,14
苓雅區,五權里,1199,398,8
苓雅區,民主里,1200,494,7
苓雅區,民主里,1201,518,10
苓雅區,民主里,1202,458,10
苓雅區,林德里,1203,360,21
苓雅區,林德里,1204,333,14
苓雅區,林貴里,1205,703,17
苓雅區,林榮里,1206,419,14
苓雅區,林榮里,1207,569,15
苓雅區,林榮里,1208,473,11
苓雅區,英明里,1209,392,13
苓雅區,英明里,1210,438,8
苓雅區,林靖里,1211,463,22
苓雅區,朝陽里,1212,574,11
苓雅區,福隆里,1213,517,13
苓雅區,福隆里,1214,551,19
苓雅區,福祥里,1215,460,11
苓雅區,福海里,1216,330,5
苓雅區,福康里,1217,419,10
苓雅區,福康里,1218,397,10
苓雅區,福人里,1219,420,21
苓雅區,福人里,1220,357,13
苓雅區,福地里,1221,561,17
苓雅區,福地里,1222,458,10
苓雅區,福居里,1223,547,18
苓雅區,福居里,1224,580,17
苓雅區,福東里,1225,478,11
苓雅區,福東里,1226,526,19
苓雅區,福西里,1227,364,11
苓雅區,福西里,1228,386,10
苓雅區,永康里,1229,420,11
苓雅區,永康里,1230,363,13
苓雅區,正文里,1231,407,8
苓雅區,正文里,1232,454,8
苓雅區,正言里,1233,516,15
苓雅區,正言里,1234,493,7
苓雅區,正大里,1235,635,16
苓雅區,正大里,1236,606,18
苓雅區,正大里,1237,599,9
苓雅區,五福里,1238,419,12
苓雅區,五福里,1239,471,9
苓雅區,五福里,1240,518,8
苓雅區,正心里,1241,723,11
苓雅區,正心里,1242,668,19
苓雅區,正道里,1243,503,11
苓雅區,正道里,1244,496,8
苓雅區,正道里,1245,522,9
苓雅區,正義里,1246,522,9
苓雅區,正義里,1247,553,8
苓雅區,正仁里,1248,435,16
苓雅區,正仁里,1249,479,7
苓雅區,文昌里,1250,505,12
苓雅區,文昌里,1251,522,11
苓雅區,文昌里,1252,504,9
苓雅區,建軍里,1253,829,17
苓雅區,衛武里,1254,419,11
苓雅區,衛武里,1255,338,17
鳳山區,鳳崗里,1256,362,9
鳳山區,縣衙里,1257,277,10
鳳山區,曹公里,1258,307,5
鳳山區,曹公里,1259,406,10
鳳山區,鎮西里,1260,471,15
鳳山區,鎮西里,1261,513,14
鳳山區,鎮西里,1262,543,4
鳳山區,鎮西里,1263,441,11
鳳山區,北門里,1264,589,11
鳳山區,北門里,1265,513,10
鳳山區,北門里,1266,498,16
鳳山區,鎮北里,1267,627,15
鳳山區,鎮北里,1268,581,10
鳳山區,鎮北里,1269,696,20
鳳山區,鎮北里,1270,705,13
鳳山區,鎮北里,1271,618,19
鳳山區,鎮北里,1272,650,19
鳳山區,武松里,1273,572,18
鳳山區,武松里,1274,446,10
鳳山區,忠誠里,1275,747,24
鳳山區,忠誠里,1276,726,13
鳳山區,文英里,1277,590,13
鳳山區,文英里,1278,432,13
鳳山區,文英里,1279,406,6
鳳山區,文華里,1280,199,11
鳳山區,文華里,1281,494,22
鳳山區,文華里,1282,530,10
鳳山區,文華里,1283,523,14
鳳山區,文華里,1284,464,8
鳳山區,文華里,1285,595,17
鳳山區,文山里,1286,573,15
鳳山區,文山里,1287,615,21
鳳山區,文山里,1288,492,14
鳳山區,文山里,1289,577,11
鳳山區,文山里,1290,389,8
鳳山區,文德里,1291,606,14
鳳山區,文德里,1292,642,9
鳳山區,文德里,1293,615,10
鳳山區,文德里,1294,649,10
鳳山區,文德里,1295,676,17
鳳山區,文衡里,1296,472,15
鳳山區,文衡里,1297,560,7
鳳山區,文衡里,1298,526,12
鳳山區,文福里,1299,639,17
鳳山區,文福里,1300,635,15
鳳山區,文福里,1301,567,7
鳳山區,文福里,1302,589,13
鳳山區,文福里,1303,488,21
鳳山區,文福里,1304,655,20
鳳山區,成功里,1305,275,6
鳳山區,縣口里,1306,139,7
鳳山區,光明里,1307,506,17
鳳山區,和德里,1308,285,4
鳳山區,和德里,1309,462,12
鳳山區,和興里,1310,649,18
鳳山區,和興里,1311,610,14
鳳山區,和興里,1312,603,14
鳳山區,南興里,1313,385,14
鳳山區,三民里,1314,392,14
鳳山區,新興里,1315,386,13
鳳山區,新興里,1316,252,2
鳳山區,興仁里,1317,404,6
鳳山區,興仁里,1318,460,11
